Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
Cause-Effect Graphing | Technique (IEEE, 2022, pp. 2, 22; 2021, p. 2, Fig. 2; Washizaki, 2024, p. 5-11) | Testing "based on exercising decision rules ["between causes … and effects" (IEEE, 2021, p. 18)] in a cause-effect graph" (2022, p. 2; 2021, p. 2) | Specification-based Testing (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2; Washizaki, 2024, p. 5-11; Firesmith, 2015, p. 47), Model-based Testing (IEEE, 2021, p. 18), Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5) | Cause and Effect Testing? (Firesmith, 2015, p. 47) | Related to decision table testing (Washizaki, 2024, p. 5-11; implied by IEEE, 2021, pp. 18-19). See BS 7925-2; Myers, 1979; Nursimulu and Probert, 1995
Certification | Approach | The "process of confirming that a system or component complies with its specified requirements and is acceptable for operational use" (IEEE, 2017, p. 63; similar in Hamburg and Mogyorodi, 2024); usually done by a third-party (IEEE, 2017, p. 63; OG ISO/IEC 2015) |  |  | 
CGI Component Testing | Approach | Testing that "covers the objects that execute on the server, but are initiated by forms-based user interactions on the browser" (Gerrard, 2000b, p. 13) | Smoke Testing, Infrastructure Testing, Functional Testing, Dynamic Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), Transaction Testing, Unit Testing (implied by Gerrard, 2000b, p. 16) | Common Gateway Interface Component Testing (Gerrard, 2000a, p. 17) | If the UI is "the last thing to be written", "server-based components cannot be tested completely until very late in the project" (Gerrard, 2000b, p. 13), so test drivers may be used (p. 14). The functional testing portion of this is often developer testing (p. 14).  "More effective and economic" when automated due to the potential for "complex transactions that interface with legacy systems" (p. 13)
Change-Related Testing | Approach | "Testing initiated by modification to a component or system" (Hamburg and Mogyorodi, 2024) |  |  | 
Checklist-based Reviews | Approach; Technique? (Hamburg and Mogyorodi, 2024) | "Review[s] … guided by a list of questions or required attributes" (Hamburg and Mogyorodi, 2024) | Checklist-based Testing, Reviews |  | See ISO 20246
Checklist-based Testing | Practice (IEEE, 2022, p. 34); Technique? (Hamburg and Mogyorodi, 2024) | Testing generated "based on a list of pre-determined items" that "can be based on personal experience, commonly found defects, and perceived risks" (IEEE, 2022, p. 34) | Experience-based Testing (IEEE, 2022, p. 34; Hamburg and Mogyorodi, 2024) | Checklist Analysis? (IEEE, 2017, p. 67) | "Often focused on a particular quality characteristic" (IEEE, 2022, p. 34). See also Patton, 2006, pp. 61, 99-103
Classification Tree Method | Technique (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2; Hamburg and Mogyorodi, 2024) | Testing "based on exercising classes in a classification tree" (IEEE, 2021, p. 2) | Specification-based Testing (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 47), Model-based Testing (IEEE, 2022, p. 13; 2021, pp. 6, 12) | Classification Tree Technique (Hamburg and Mogyorodi, 2024) | Can be done based on "minimality" by covering "the classes represented by leaf nodes" or on "maximality" by covering "unique combinations of the classes represented by leaf nodes" (IEEE, 2021, p. 12). Related to combinatorial testing (Hamburg and Mogyorodi, 2024) and equivalence partitioning (although with disjoint partitions) and can be done recursively (IEEE, 2021, p. 12). See Grochtmann and Grimm 1993
Closed Beta Testing (Firesmith, 2015, p. 58) | Level (inferred from beta testing), Type (implied by Firesmith, 2015, p. 58) |  | Beta Testing (Firesmith, 2015, pp. 39, 58) |  | 
Closed Loop Testing (Control Flow) | Technique? | Loop testing performed on loops with "no exit … whose execution can be interrupted only by intervention from outside the computer program or procedure in which the [it] is located" (IEEE, 2017, p. 71) | Loop Testing |  | Not explicitly described by a source (in the context of software control flows); implied by loop testing (Gerrard, 2000a, Fig. 5) and closed loops (IEEE, 2017, p. 71)
Closed Loop Testing (Control Systems) | Technique? | Testing that "evaluate[s] the performance of the physical device(s) under actual operating conditions prior to their installation in the real network" (Forsyth et al., 2004, p. 329) | Specification-based Testing (Preuße et al., 2012, pp. 5-6), Formal Testing (p. 6), Control System Testing? (Forsyth et al., 2004, pp. 329, 331), Performance Testing (can be; Preuße et al., 2012, p. 2; Forsyth et al., 2004, pp. 329, 331), Correctness Testing (can be; Preuße et al., 2012, pp. 4, 6), Functional Testing, Non-functional Testing (can be; p. 6), Online Testing (can be; Forsyth et al., 2004, p. 329), Model-based Testing (implied by Preuße et al., 2012), Domain-Specific Testing? | Sometimes spelled with a hyphen (Preuße et al.), Closed-Loop Verification? (Preuße et al., 2012, p. 1) | This definition seems exclusive to hardware, but may be generalizable. "The only way to do [sic] get a comprehensive assertion about the correctness of control software" since the state space is restricted to "practically relevant" inputs (Preuße et al., 2012, p. 4). Often performed using "real time simulators" (Forsyth et al., 2004, p. 332). See also Trudnowski et al., (2017; if in scope)
Cloud Testing (Firesmith, 2015, p. 42) | Approach |  |  |  | 
Code Injection | Approach | "A type of security attack performed by inserting malicious code at an interface into an application to exploit poor handling of untrusted data" (Hamburg and Mogyorodi, 2024) | Security Attacks (Hamburg and Mogyorodi, 2024), Interface Testing (implied by Hamburg and Mogyorodi, 2024) |  | 
Code Reviews | Approach | A "meeting at which software code is presented to project personnel, managers, users, customers, or other interested parties for comment or approval" (IEEE, 2017, p. 74); can also be done "using a pull request technique/tool … before [the code] can be merged into [the] project" (Washizaki, 2024, p. 12-13) | Reviews (Washizaki, 2024, p. 12-13), Peer Reviews (sometimes) (Washizaki, 2024, p. 12-13), Static Analysis? (Washizaki, 2024, p. 12-13) |  | Sometimes kept separate from testing (Washizaki, 2024, p. 12-11). Seems to line up most closely with the notion of "peer review" from Patton (2006, p. 94) and van Vliet (2000, p. 414)
Co-existence Testing | Type (inferred from compatibility and interoperability testing and implied by its quality (ISO/IEC, 2023a)) | "Testing that measures the degree to which a test item can function satisfactorily alongside other independent products in a shared environment" (IEEE, 2022, p. 3; similar in ISO/IEC, 2023a) "without a negative impact on any of them" (Hamburg and Mogyorodi, 2024; similar in ISO/IEC, 2023a) | Compatibility Testing (IEEE, 2022, p. 3; ISO/IEC, 2023a) | Sometimes spelled without a hyphen (Hamburg and Mogyorodi, 2024) | Testing approach not mentioned explicitly by IEEE (2022), Hamburg and Mogyorodi (2024), or ISO/IEC (2023a). Related to portability testing (Hamburg and Mogyorodi, 2024)
Combinatorial Testing | Technique (IEEE, 2022, pp. 3, 22; 2021, pp. 2, 15, Fig. 2; Washizaki, 2024, p. 5-11; Hamburg and Mogyorodi, 2024), Practice? (since it is a "class of … techniques" (IEEE, 2022, p. 3; 2021, p. 2); see notes) | Testing that "systematically derive[s] a meaningful and manageable [(i.e., finite)] subset of test cases … in terms of test item parameters and the values these parameters can take" (P-V pairs) (IEEE, 2021, p. 15) | Specification-based Testing (IEEE, 2022, pp. 3, 22; 2021, p. 2, Fig. 2; Washizaki, 2024, p. 5-11; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 47), Model-based Testing (IEEE, 2022, p. 13; 2021, pp. 6, 15) |  | "Other test design techniques, such as equivalence partitioning or boundary value analysis, … [can be used to] reduce the large set of possible values for a parameter to a manageable subset" (IEEE, 2021, p. 16). Related to the classification tree method (Hamburg and Mogyorodi, 2024). See also Grindal et al., 2005 and Engström and Petersen, 2015
Command-Form Testing (Doğan et al., 2014, Tab. 13; OG Halfond and Orso, 2006; 2007, Halfond et al., 2009) | Technique? (inferred from database coverage testing) | Testing that aims to "adequately exercis[e] the interactions between an application and its underlying database" (Doğan et al., 2014, Tab. 13; OG Halfond and Orso, 2006; 2007, Halfond et al., 2009) | Web Application Testing, Database Coverage Testing? (Doğan et al., 2014, Tab. 13), Integration Testing? |  | 
Command-Line Interface (CLI) Testing | Approach | "Testing performed by submitting commands to the software under test using a dedicated command-line interface" (Hamburg and Mogyorodi, 2024) |  |  | 
Comparison Testing (Sharma et al., 2021, p. 601; OG [10]) | Approach |  |  |  | 
Compatibility Testing | Type (IEEE, 2022, pp. 3, 22; 2013, p. 2; implied by its quality (ISO/IEC, 2023a) and by Firesmith, 2015, p. 53) | "Testing that measures the degree to which a test item can function satisfactorily alongside other independent products in a shared environment (co-existence), and where necessary, exchanges information with other systems or components (interoperability)" (IEEE, 2022, p. 3; 2013, p. 2; similar in ISO/IEC, 2023a and Hamburg and Mogyorodi, 2024) | Non-functional Testing (Washizaki, 2024, p. 5-9) |  | Not atomic and implies the existence of "co-existence testing" and "interoperability testing", which is made more explicit by ISO/IEC (2023a). Includes both "different hardware and software facilities" and "different versions or releases" (Washizaki, 2024, p. 5-9). Likely has two subtypes: "downward compatibility testing" (implied by IEEE, 2017, p. 147) and "upward compatibility testing" (implied by IEEE, 2017, p. 492)
Complete Regression Testing (Firesmith, 2015, p. 34) | Approach |  | Regression Testing (Firesmith, 2015, p. 34) |  | 
Compliance Testing | Type (implied by its quality (IEEE, 2017, p. 82; Hamburg and Mogyorodi, 2024)) | Testing that "validates" (Firesmith, 2015, p. 33) the "adherance of [the test item] … to standards, conventions or regulations in laws and similar prescriptions" (Hamburg and Mogyorodi, 2024; OG IREB Glossary; similar in Firesmith, 2015, p. 33) usually "forced by an external regulatory body" (Washizaki, 2024, p. 5-8) |  | Regulatory-Compliance Testing (Firesmith, 2015, p. 33), Regulation Testing (Kam, 2008, p. 47), Standards Testing (Kam, 2008, p. 48) | "Audits are often used to verify compliance with standards" (IEEE, 2022, p. 44)
Component Integration Testing | Level (IEEE, 2017, p. 467; Hamburg and Mogyorodi, 2024; inferred from integration testing) | "Testing of groups of related components" (IEEE, 2017, p. 82) or "integration testing of components" (Hamburg and Mogyorodi, 2024) "performed to expose defects in the interfaces and interaction between [them]" (Kam, 2008, p. 43) | Integration Testing (Hamburg and Mogyorodi, 2024) | Module Integration Testing, Unit Integration Testing (Hamburg and Mogyorodi, 2024), Link Testing? (Kam, 2008, p. 45) | Difference between this, integration testing, and unit testing?
Concrete Execution (Doğan et al., 2014, p. 192) | Technique (inferred from symbolic execution) |  | Static Testing? |  | Related to symbolic execution (Doğan et al., 2014, p. 192)
Concurrency Testing | Approach | "Testing to determine how the occurrence of two or more activities within the same interval of time, achieved either by interleaving the activities or by simultaneous execution, is handled" (Kam, 2008, p. 43) | Performance Testing (Gerrard, 2000b, p. 23) |  | Can find "obscure bugs" "over extended periods" (Gerrard, 2000b, p. 23)
Condition Testing | Technique (Hamburg and Mogyorodi, 2024) | Testing "in which test conditions are outcomes of atomic conditions" (Hamburg and Mogyorodi, 2024) | Structure-based Testing (Hamburg and Mogyorodi, 2024; Sharma et al., 2021, Fig. 1), Control Flow Testing (Firesmith, 2015, p. 49), Decision Testing? | Decision Testing (Washizaki, 2024, p. 5-13) | Hamburg and Mogyorodi (2024) make the distinction that this only involves atomic conditions, but Washizaki (2024, p. 5-13) doesn't, considering these two terms to be synonyms
Configuration Testing | Type (implied by Firesmith, 2015, p. 53) | Testing that "verifies the software under specified configurations" (Washizaki, 2024, p. 5-10), or "arrangement[s] … defined by … its constituent parts[,] … requirements, design, and[/or] implementation" (IEEE, 2017, p. 90), when it "is built to serve different users" (Washizaki, 2024, p. 5-10) | Non-functional Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1, p. 20), Smoke Testing, Dynamic Testing (2000a, Tab. 2; 2000b, Tab. 1), Data Center Testing (Firesmith, 2015, p. 24), Combinatorial Testing (can be; IEEE, 2021, p. 15), Developer Testing (can be) (Gerrard, 2000a, p. 11) | Portability Testing (implied by Kam, 2008, p. 43) | Can be done by an audit (IEEE, 2017, p. 90). For web application testing, this includes combinations of OS platforms, network connections, commercial services, and browsers (Gerrard, 2000b, p. 20)
Conformance Testing (Washizaki, 2024, p. 5-7; Jard et al., 1999, p. 25; implied by IEEE, 2017, p. 93) | Type (implied by its quality (IEEE, 2017, p. 92; OG PMBOK 5th ed.)) | Testing that "aims to verify that the SUT conforms to standards, rules, specifications, requirements, design, processes, or practices" (Washizaki, 2024, p. 5-7) or that evaluates the degree to which "results … fall within the limits that define acceptable variation for a quality requirement" (IEEE, 2017, p. 92; OG PMBOK 5th ed.) "to obtain the conviction that its [the SUT's] behaviour conforms with its specification" (Jard et al., 1999, p. 25) "in its test environment" (p. 26; OG [4]) | Formal Testing (can be; Jard et al., 1999, pp. 25-26) | Correctness Testing? | Related to functional testing (Washizaki, 2024, p. 5-7) and may be contrasted with nonconformity (IEEE, 2017, p. 292)
Consistency Testing (Firesmith, 2015, p. 53) | Type (implied by Firesmith, 2015, p. 53) | Testing the "degree of uniformity, standardization, and freedom from contradiction" (IEEE, 2017, p. 94) |  |  | Content consistency testing is possibly a subapproach (see IEEE, 2017, p. 96). Related to traceability testing (IEEE, 2017, p. 94)
Construction Testing | Approach | Testing that "aims to reduce the gap between when faults are inserted into the code and when those faults are detected, thereby reducing the cost incurred to fix them" (Washizaki, 2024, p. 4-7) |  |  | "Involves two forms of testing, which are often performed by the software engineer who wrote the code: unit testing and integration testing", but not "more specialized testing" (Washizaki, 2024, p. 4-7). IEEE (2017, p. 95) defines a process just called "construction" that includes unit testing (but not integration testing). See also IEEE Standard 829-1998 and IEEE Standard 1008-1987
